DateTime,AddedIPs,RemovedIPs
1487440805,0,1
1487455204,1,0
1487469605,0,1
1487523605,0,1
1487541605,2,0
1487559606,1,0
1487624405,0,1
1487671205,0,1
1487682006,0,1
1487696406,0,1
1487728805,2,0
1487754005,0,1
1487757605,1,1
1487790005,0,1
1487804406,0,1
1487818805,1,1
1487833206,1,0
1487844008,1,1
1487880007,0,1
1487948407,1,0
1487962807,0,1
1487998808,1,0
1488016808,1,0
1488038408,0,1
1488042008,0,1
1488060006,0,2
1488070808,1,0
1488092407,1,0
1488124806,1,0
1488139207,1,0
1488146407,0,2
1488182406,1,0
1488211207,0,1
1488222007,0,1
1488240007,1,0
1488333607,0,1
1488337207,0,1
1488362407,0,1
1488380407,2,0
1488405608,0,1
1488420007,1,0
1488423606,1,0
1488463207,1,0
1488495605,2,0
1488556804,0,1
1488571204,2,0
1488585604,0,1
1488610805,1,0
1488625212,0,1
1488628836,0,1
1488636034,0,1
1488740405,1,0
1488888005,1,0
1488895205,1,0
1488913205,0,1
1488960005,1,0
1488974405,2,0
1488985204,0,1
1489024804,0,1
1489028404,0,1
1489042805,1,0
1489064405,2,0
1489071604,0,1
1489089605,1,0
1489100405,0,1
1489107604,0,1
1489132804,0,1
1489165205,1,0
1489172404,0,1
1489176005,0,2
1489179606,1,0
1489215605,0,1
1489244405,1,0
1489266005,1,0
1489269605,0,1
1489273205,1,0
1489276804,0,1
1489291204,0,1
1489327206,1,0
1489345205,0,1
1489374005,0,1
1489392005,1,1
1489410004,1,0
1489413605,1,0
1489431607,1,0
1489449606,0,1
1489456806,1,0
1489464006,1,0
1489467605,0,1
1489492805,0,1
1489496405,1,0
1489500004,0,1
1489536005,1,0
1489539605,1,0
1489564805,0,1
1489572004,1,0
1489622406,1,0
1489647605,0,1
1489669209,0,1
1489672807,0,1
1489676407,1,0
1489680006,0,1
1489694405,1,0
1489770004,0,1
1489784405,0,1
1489788005,1,0
1489849205,0,1
1489870805,0,1
1489874404,2,0
1489878004,0,1
1489899605,1,0
1489928405,1,0
1489932005,0,1
1489935605,1,0
1489939206,1,0
1489950006,1,0
1490043608,1,0
1490061606,0,1
1490068805,1,0
1490083205,0,1
1490101205,0,1
1490140807,0,1
1490148006,0,1
1490220009,1,0
1490227210,0,1
1490234408,0,1
1490238008,1,0
1490241607,1,0
1490281206,0,1
1490299205,1,1
1490306405,1,0
1490324404,0,1
1490331605,0,1
1490335206,0,1
1490349606,1,0
1490385606,2,0
1490389206,1,0
1490392806,0,1
1490396405,1,0
1490403605,0,1
1490482806,0,1
1490486406,1,1
1490576405,0,1
1490634006,0,1
1490752805,1,0
1490778005,0,1
1490788805,1,0
1490821206,0,1
1490832005,1,0
1490846406,0,1
1490868006,0,1
1490875206,1,1
1490882405,0,2
1490886004,1,0
1490893204,0,1
1490900405,0,1
1490911209,0,1
1490925605,0,2
1490932806,0,1
1490947204,0,1
1490958004,0,1
1490965204,0,1
1490972405,0,1
1490976005,1,0
1490990405,0,1
1490994004,1,1
1491048005,0,1
1491084005,1,0
1491087605,2,0
1491091204,2,1
1491094805,1,0
1491098405,1,0
1491102006,1,0
1491109205,1,0
1491134405,2,0
1491138005,1,0
1491141605,1,0
1491159606,1,0
1491188405,1,0
1491192005,1,0
1491246007,1,0
1491267605,2,0
1491310805,0,1
1491350406,1,0
1491354005,1,0
1491404410,1,1
1491422407,1,0
1491433206,0,1
1491436805,0,1
1491541205,1,0
1491573605,1,0
1491580806,1,0
1491688806,0,1
1491699606,1,0
1491706806,0,1
1491728408,0,1
1491750007,2,1
1491768006,1,0
1491786007,0,1
1491796806,0,1
1491811206,0,1
1491836405,1,0
1491908405,0,1
1491930006,1,0
1491933605,0,1
1491940805,1,1
1491955206,1,1
1491962405,0,1
1492023605,1,0
1492027205,0,1
1492048805,1,0
1492171205,1,1
1492225207,1,1
1492264806,1,0
1492268406,0,2
1492275607,1,0
1492279205,1,0
1492304406,0,1
1492326005,0,1
1492354806,0,1
1492365606,1,0
1492455606,0,1
1492491606,0,1
1492498806,0,1
1492534806,0,2
1492538406,0,1
1492545605,0,1
1492560007,0,1
1492567207,1,0
1492614006,2,0
1492628405,0,1
1492653609,0,1
1492678805,1,0
1492689606,0,1
1492696805,1,0
1492736407,1,0
1492776006,0,1
1492808405,0,1
1492812005,2,0
1492822806,1,0
1492833604,0,1
1492848006,1,0
1492873206,1,0
1492876806,1,0
1492880407,1,0
1492905606,0,1
1492927206,3,0
1492948807,0,1
1492988407,1,0
1493010007,1,0
1493013606,1,0
1493046008,0,1
1493082008,1,0
1493100007,2,0
1493154007,1,1
1493161207,2,0
1493164806,0,1
1493172006,1,0
1493175606,0,1
1493179206,0,1
1493182806,1,0
1493190006,1,0
1493218806,0,1
1493229605,1,0
1493244007,1,0
1493251207,1,1
1493254807,0,1
1493316056,2,3
1493323258,2,0
1493341255,0,1
1493380847,1,0
1493416842,0,1
1493431239,0,1
1493442042,0,1
1493452855,0,1
1493478052,0,1
1493481651,0,1
1493506845,0,1
1493532044,0,1
1493600454,1,0
1493618453,0,1
1493665252,1,0
1493686855,0,1
1493704858,0,2
1493766057,0,1
1493805654,0,1
1493827256,0,1
1493834457,0,2
1493884857,1,1
1493913657,1,0
1493920857,0,1
1493931655,0,2
1493938852,1,0
1493942459,0,1
1494028855,0,1
1494082835,1,0
1494100846,0,1
1494154854,1,0
1494183657,1,0
1494244860,1,0
1494255659,0,1
1494270058,0,1
1494345657,0,1
1494352858,1,0
1494385258,0,2
1494399657,1,0
1494428456,1,0
1494432056,0,1
1494442856,1,0
1494453658,0,1
1494464456,1,0
1494518462,0,1
1494529257,1,0
1494604805,0,1
1494633605,0,1
1494673204,1,0
1494676805,2,0
1494687605,0,1
1494727206,1,0
1494752406,1,0
1494788405,0,1
1494810006,2,0
1494817206,1,0
1494831608,0,1
1494838808,1,0
1494853207,0,1
1494885609,2,0
1494889209,1,0
1494957609,2,0
1494961207,1,0
1494968408,1,0
1494972008,1,0
1494975608,1,0
1495069207,1,1
1495072809,0,1
1495080008,1,0
1495087208,1,0
1495094408,1,0
1495105209,1,0
1495134008,0,1
1495188008,1,0
1495191608,1,0
1495242008,1,0
1495281608,1,0
1495299609,2,0
1495306809,1,0
1495364408,0,1
1495404010,1,0
1495407610,0,1
1495422011,0,1
1495450809,0,1
1495458008,0,1
1495486808,1,0
1495494008,2,0
1495504808,1,0
1495551610,0,1
1495555208,1,0
1495562408,0,2
1495566009,0,1
1495573209,0,1
1495576808,1,1
1495580408,0,1
1495612810,1,0
1495627210,1,0
1495630810,2,0
1495674010,0,1
1495702808,0,1
1495800008,0,1
1495832466,1,0
1495886454,1,0
1495936827,2,0
1495965609,1,0
1495976419,1,0
1495990819,0,1
1496005221,0,1
1496012419,0,1
1496016015,1,0
1496023214,1,0
1496037612,0,2
1496062809,0,1
1496088053,1,0
1496109663,0,1
1496138455,1,0
1496160047,1,0
1496167253,0,1
1496181651,0,1
1496188841,1,1
1496199650,1,0
1496206923,1,0
1496210461,1,0
1496217664,0,1
1496228463,1,0
1496235661,0,1
1496253661,2,0
1496278859,1,0
1496286052,1,0
1496296861,0,1
1496304059,1,0
