DateTime,AddedIPs,RemovedIPs
1493914808,11,0
1493929208,10,0
1493943609,10,0
1493958009,6,0
1493972408,6,0
1493973308,1,0
1493986808,21,0
1493993408,18,0
1494001208,19,0
1494011109,0,1
1494015608,10,0
1494019809,0,1
1494024009,0,1
1494030008,9,0
1494044409,10,3
1494048008,0,1
1494055809,0,1
1494058809,10,0
1494065408,2,0
1494065709,2,0
1494067509,0,1
1494073209,5,0
1494087609,6,0
1494102008,17,0
1494107409,0,1
1494116409,17,0
1494130809,8,0
1494145208,10,0
1494159609,3,0
1494174008,6,0
1494179408,2,0
1494179708,1,0
1494180008,1,0
1494180308,3,0
1494188408,5,0
1494202808,8,0
1494208808,1,1
1494217209,7,0
1494231608,4,0
1494246009,19,0
1494247508,0,1
1494260408,10,0
1494261609,0,1
1494266108,2,0
1494266408,1,0
1494266710,5,0
1494267008,7,0
1494267608,2,0
1494272108,0,1
1494274808,11,0
1494289208,7,0
1494303608,9,0
1494318009,5,0
1494318313,1,0
1494318608,15,0
1494318908,15,0
1494321909,1,0
1494330608,0,1
1494332409,14,0
1494342609,0,1
1494346808,6,0
1494348308,0,1
1494357908,1,0
1494361208,12,0
1494375609,11,0
1494379209,0,1
1494381908,0,1
1494390008,15,0
1494402309,2,1
1494403808,11,0
1494404409,11,0
1494418809,9,0
1494424508,3,0
1494425708,0,1
1494428107,0,1
1494428708,0,1
1494432909,1,0
1494433208,5,0
1494433510,6,0
1494436809,1,0
1494447611,6,0
1494459608,0,1
1494462009,12,0
1494476409,6,0
1494490808,5,0
1494491111,1,0
1494492009,1,0
1494505210,9,0
1494510908,0,1
1494519609,10,0
1494534009,8,0
1494548409,4,0
1494562809,7,0
1494577209,2,0
1494591609,8,0
1494606009,7,0
1494616508,0,256
1494620409,9,0
1494632408,16,0
1494632709,20,0
1494633009,15,0
1494634809,5,0
1494635708,0,1
1494649208,24,0
1494650409,0,1
1494663609,15,0
1494678308,18,0
1494684008,0,1
1494692409,3,0
1494699909,1,0
1494706809,18,0
1494721514,9,0
1494735609,10,3
1494750008,14,0
1494764409,7,0
1494778808,7,0
1494793209,11,0
1494793809,52,0
1494794109,15,0
1494794408,33,0
1494807609,3,0
1494816010,0,1
1494822009,16,0
1494836409,4,0
1494850810,18,0
1494865208,8,0
1494879609,10,0
1494880209,0,1
1494888309,0,1
1494894008,5,0
1494899108,17,0
1494908409,7,0
1494921308,0,1
1494922808,4,0
1494930311,1,0
1494937209,5,0
1494951908,6,0
1494953110,0,1
1494960908,1,0
1494966008,6,0
1494980408,4,0
1494994809,7,0
1495007109,7,0
1495008308,1,0
1495009208,4,0
1495023610,8,0
1495038010,12,0
1495052408,9,0
1495066808,17,0
1495067110,1,0
1495077609,41,0
1495081208,3,0
1495095608,8,0
1495096509,1,0
1495097708,21,0
1495098009,3,0
1495098909,7,0
1495107009,16,0
1495107308,84,0
1495107608,49,0
1495110009,6,0
1495124409,9,0
1495124708,0,1
1495138808,17,0
1495145708,0,1
1495149309,0,1
1495153208,4,0
1495167608,2,0
1495182008,8,0
1495196409,11,0
1495210808,15,0
1495211112,3,1
1495211409,2,0
1495225209,15,3
1495239609,6,0
1495254009,5,0
1495268409,7,0
1495282808,9,0
1495297209,8,0
1495311915,9,0
1495326008,4,0
1495339808,1,0
1495340408,8,0
1495354809,7,0
1495369209,5,0
1495383609,10,0
1495383909,0,1
1495398008,9,0
1495412408,4,0
1495426808,5,3
1495441208,6,3
1495444508,2,0
1495455609,10,0
1495465808,0,255
1495470008,8,0
1495470309,1,0
1495484408,10,0
1495498808,11,0
1495513208,6,0
1495527608,6,0
1495542008,6,0
1495556409,8,0
1495567808,1,0
1495569008,0,1
1495570808,8,0
1495580408,0,1
1495585208,6,0
1495599609,5,0
1495614008,6,0
1495616708,5,0
1495628409,7,0
1495643109,11,0
1495657208,10,0
1495671609,8,0
1495671912,7,0
1495686008,5,0
1495692908,1,0
1495700408,6,0
1495711810,5,0
1495714809,5,0
1495729208,7,0
1495729508,0,1
1495730709,18,0
1495731608,24,0
1495732208,503,0
1495736108,1,0
1495743608,10,0
1495743909,0,1
1495758009,6,0
1495772408,2,0
1495782308,0,1
1495786808,4,0
1495801209,5,0
1495805709,0,1
1495808709,0,1
1495814411,0,1
1495815609,11,0
1495817409,4,0
1495825509,1,0
1495830008,12,0
1495844409,6,0
1495844709,11,0
1495858809,22,0
1495867509,18,0
1495867808,4,0
1495873209,3,0
1495873513,9,0
1495883409,1,0
1495887608,14,0
1495902009,8,0
1495914309,1,0
1495916409,14,0
1495930808,8,0
1495945208,6,0
1495957208,10,0
1495959609,10,0
1495974009,5,0
1495975806,0,1
1495988709,6,0
1496002809,6,0
1496014209,0,1
1496017209,3,0
1496022608,3,0
1496031608,7,0
1496046008,9,0
1496046312,4,0
1496051108,0,1
1496060409,5,0
1496073009,1,0
1496074808,6,0
1496075110,8,0
1496075708,3,0
1496079308,0,1
1496084408,1,0
1496089208,14,0
1496099408,0,1
1496103609,5,0
1496103910,2,0
1496117108,2,0
1496118008,6,0
1496132408,4,0
1496134808,60,0
1496135108,2,0
1496137509,1,0
1496146809,8,0
1496158209,0,1
1496161208,6,0
1496161510,8,0
1496175611,12,0
1496177408,1,0
1496190008,3,0
1496190312,5,0
1496203808,0,1
1496204409,16,0
1496210408,0,1
1496218508,5,0
1496218808,4,0
1496219110,2,0
1496221810,34,0
1496222108,15,0
1496232908,1,0
1496233208,8,0
1496235908,0,1
1496236809,0,1
1496247609,4,0
1496247915,12,0
1496262008,10,0
1496276408,2,0
1496276714,5,0
1496290808,8,0
1496296208,0,1
1496303708,0,1
1496305209,5,0
1496305511,5,0
1496307609,0,1
1496308810,0,1
1496309108,0,1
1496309708,0,2
1496310909,0,3
1496311208,0,2
1496311808,0,1
1496312409,0,1
1496312712,1,1
1496313008,0,1
1496313308,0,1
1496319308,0,1
1496319610,8,0
1496325608,0,1
1496334309,17,0
1496349609,12,0
1496363111,9,0
1496377209,7,0
1496390108,13,0
1496391609,4,0
1496391910,2,0
1496406009,4,0
1496409910,59,0
1496414111,0,1
1496420409,5,0
1496420717,6,0
1496434809,10,0
1496444410,0,1
1496449509,10,0
1496464509,4,0
1496478309,6,0
1496493008,7,0
1496496608,4,0
1496506809,4,0
1496507408,3,0
1496514609,0,1
1496514909,0,1
1496520310,25,0
1496520609,89,0
1496520910,68,0
1496521209,4,0
1496521810,82,0
1496522109,90,0
1496522410,9,0
1496535609,4,0
1496535910,3,0
1496550008,8,0
1496555708,0,1
1496564409,2,0
1496578810,5,0
1496591709,0,1
1496592609,1,0
1496593208,3,0
1496593511,8,0
1496607608,9,0
1496613008,0,1
1496616908,0,1
1496622310,10,0
1496636409,1,0
1496638809,0,1
1496650809,2,0
1496651117,10,0
1496656508,2,0
1496656808,18,0
1496657109,3,0
1496658316,0,1
1496660408,0,1
1496665209,8,0
1496673008,1,0
1496679915,11,0
1496684108,0,1
1496685309,0,1
1496690109,0,1
1496694008,11,0
1496708708,13,0
1496729408,0,1
1496737512,16,0
1496755808,9,0
1496756709,2,0
1496766310,17,0
1496788809,0,1
1496795114,24,0
1496804409,0,1
1496815508,0,1
1496823915,14,0
1496847910,1,0
1496852709,14,0
1496859309,11,0
1496876109,0,1
1496881516,14,0
1496889309,0,1
1496894409,0,1
1496910316,7,0
1496912108,4,0
1496922310,0,1
1496927108,0,1
1496928609,1,0
1496939113,15,0
1496952009,0,1
1496967914,19,0
1496996710,18,0
1497002408,2,0
1497006908,1,0
1497025809,16,1
1497028209,0,1
1497031209,0,1
1497040509,0,1
1497054311,21,0
1497073509,0,1
1497074108,46,0
1497083110,14,0
1497097511,0,1
1497112208,18,0
1497140713,12,0
1497141309,2,0
1497169515,6,0
1497186308,0,1
1497198609,11,0
1497204609,0,1
1497212715,2,0
1497213009,2,0
1497227111,16,0
1497236109,0,1
1497247208,0,1
1497254108,9,0
1497255912,10,0
1497256508,0,1
1497266409,1,0
1497284713,21,0
1497288008,2,0
1497306009,1,0
1497313511,17,0
1497342315,7,0
1497354608,0,1
1497357009,7,0
1497359109,0,1
1497371114,25,0
1497375308,16,0
1497375608,2,0
1497376811,0,1
1497384309,0,1
1497391208,1,0
1497397510,4,0
1497400208,22,1
1497400808,1,0
1497428715,8,0
1497457509,19,0
1497464409,5,0
1497464711,5,0
1497471308,2,0
1497471608,0,2
1497480308,0,1
1497482408,0,1
1497486311,23,0
1497499208,10,0
1497499810,8,0
1497512408,0,1
1497515111,9,3
1497541808,3,0
1497542708,8,0
1497543909,14,0
1497551708,2,0
1497572714,14,0
1497599709,7,0
1497600009,7,0
1497600608,1,0
1497601518,11,0
1497615009,16,0
1497630311,26,0
1497633609,1,0
1497653409,0,1
1497659111,12,0
1497676808,0,1
1497687912,12,0
1497705909,0,1
1497715509,0,1
1497716713,7,0
1497728409,12,0
1497745509,15,0
1497757508,1,0
1497771308,0,1
1497774313,7,0
1497778209,6,0
1497788409,0,1
1497803409,15,0
1497803709,2,0
